
### desktop 1440
  Trending      from /        → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  Trending      from /explore → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  How it Works  from /        → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  How it Works  from /explore → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  Features      from /        → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  Features      from /explore → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  For Creators  from /        → header bottom 89px, section top 63px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  For Creators  from /explore → header bottom 89px, section top 63px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  Stories       from /        → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)
  Stories       from /explore → header bottom 89px, section top 64px, first content 104px → EMPTY GAP 15px (section padding-top 40.32px)

### tablet 834
  Trending      from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Trending      from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  How it Works  from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  How it Works  from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Features      from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Features      from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  For Creators  from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  For Creators  from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Stories       from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Stories       from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)

### mobile 390
  Trending      from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Trending      from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  How it Works  from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  How it Works  from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Features      from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Features      from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  For Creators  from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  For Creators  from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Stories       from /        → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
  Stories       from /explore → header bottom 81px, section top 66px, first content 96px → EMPTY GAP 15px (section padding-top 30px)
