
### behind-the-fame-a-coast-documentary (pixel)
     336ms  NOBOX | - | playing=false  t=—
    1216ms  PICTURE | poster=1.0 frame=- ad=- adposter=- adframe=- skel=- note=- | playing=false  t=—
    2152ms  PICTURE | poster=1.0 frame=0.0 ad=- adposter=- adframe=- skel=- note=- | playing=false  t=—
    5443ms  BLACK(97%) | poster=1.0 frame=1.0 ad=- adposter=- adframe=- skel=- note=- | playing=false  t=0.0
    6120ms  BLACK(97%) | poster=0.0 frame=1.0 ad=- adposter=- adframe=- skel=- note=- | playing=false  t=0.0
   10418ms  BLACK(97%) | poster=0.0 frame=1.0 ad=- adposter=- adframe=- skel=- note=- | playing=true  t=0.4
   11592ms  PICTURE | poster=0.0 frame=1.0 ad=- adposter=- adframe=- skel=- note=- | playing=true  t=1.5

### ugali-samaki-sunday-cooking (pixel)
     116ms  NOBOX | - | playing=false  t=—
    1900ms  BLACK(96%) | poster=1.0 frame=0.0 ad=loading adposter=1.0 adframe=0.0 skel=- note=Advert loading… | playing=false  t=—
    2508ms  PICTURE | poster=1.0 frame=0.0 ad=loading adposter=1.0 adframe=0.0 skel=- note=Advert loading… | playing=false  t=—
    4768ms  BLACK(96%) | poster=1.0 frame=1.0 ad=loading adposter=0.8 adframe=1.0 skel=- note=Advert loading… | playing=false  t=0.0
    5324ms  BLACK(96%) | poster=1.0 frame=1.0 ad=loading adposter=0.0 adframe=1.0 skel=- note=Advert loading… | playing=false  t=0.0
    6146ms  BLACK(96%) | poster=1.0 frame=1.0 ad=loading adposter=0.0 adframe=1.0 skel=- note=Advert starting… | playing=false  t=0.0
    7840ms  BLACK(96%) | poster=1.0 frame=0.0 ad=loading adposter=0.0 adframe=1.0 skel=- note=Advert starting… | playing=false  t=0.0
    9663ms  BLACK(96%) | poster=0.8 frame=1.0 ad=loading adposter=0.0 adframe=1.0 skel=- note=Advert starting… | playing=false  t=0.0
   10644ms  BLACK(96%) | poster=0.0 frame=1.0 ad=loading adposter=0.0 adframe=1.0 skel=- note=Advert starting… | playing=true  t=0.5
   11541ms  PICTURE | poster=0.0 frame=1.0 ad=playing adposter=0.0 adframe=1.0 skel=- note=- | playing=true  t=1.4
